,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
gmean_all_metrics,0.7794199999999999,0.8082800000000001,0.78336,0.76576,0.8066800000000001,0.81014,0.79256,0.7824199999999999,0.7823,0.8002,0.7692599999999999,0.77274,0.7899200000000001,0.7856400000000001,0.78226
roc_auc,0.86496,0.88338,0.8742000000000001,0.85504,0.8842399999999999,0.8796200000000001,0.8653600000000001,0.8695,0.87166,0.8885799999999999,0.7755600000000001,0.8648199999999999,0.8646,0.86496,0.8747399999999999
accuracy,0.7815199999999999,0.8083199999999999,0.78492,0.7677600000000001,0.80844,0.81166,0.7948599999999999,0.78488,0.78486,0.8017,0.77114,0.77486,0.79158,0.7880800000000001,0.78476
sensitivity,0.7889,0.73784,0.78122,0.7373000000000001,0.73756,0.7523799999999999,0.73756,0.73678,0.7309599999999999,0.76696,0.75184,0.7158800000000001,0.7446999999999999,0.75184,0.75954
specificity,0.8375199999999999,0.8062400000000001,0.8375199999999999,0.83126,0.86252,0.84376,0.83126,0.8625,0.79374,0.8375199999999999,0.83126,0.81874,0.83124,0.83126,0.8375199999999999
ppv,0.8042400000000001,0.7634000000000001,0.80482,0.79296,0.8209,0.80854,0.7893199999999999,0.8271599999999999,0.75306,0.8003,0.7956399999999999,0.7767,0.7933199999999999,0.7941,0.8006800000000001
npv,0.8276,0.7874,0.81806,0.7876,0.79382,0.80242,0.78746,0.7936,0.7754,0.8099000000000001,0.79764,0.7741999999999999,0.7937000000000001,0.79844,0.8042200000000002
gmean_sens_spec,0.8112600000000001,0.76948,0.8084999999999999,0.7818799999999999,0.7973999999999999,0.79504,0.78284,0.7958799999999999,0.7613000000000001,0.8006800000000001,0.7893399999999999,0.76318,0.7853999999999999,0.78928,0.79678
gmean_all_metrics,0.81334,0.77218,0.8098999999999998,0.78588,0.8022600000000001,0.79986,0.78558,0.8027599999999999,0.76264,0.80282,0.7928200000000001,0.76888,0.7892399999999999,0.79258,0.7995
roc_auc,0.8812,0.87104,0.8790000000000001,0.8609600000000001,0.8874600000000001,0.8962999999999999,0.8810399999999999,0.8881599999999998,0.8478999999999999,0.8857800000000001,0.79158,0.84894,0.8581399999999999,0.8665800000000001,0.87998
accuracy,0.8148799999999999,0.7745200000000001,0.8116200000000001,0.78814,0.80482,0.8015399999999999,0.7881,0.80488,0.7646799999999999,0.8049199999999999,0.79488,0.77144,0.7914199999999999,0.79476,0.8016
sensitivity,0.74524,0.77488,0.78148,0.7598,0.71508,0.73756,0.73758,0.7378199999999999,0.75898,0.78148,0.7672,0.76666,0.7672,0.7743399999999999,0.7743399999999999
specificity,0.8687400000000001,0.8499800000000001,0.85,0.8375,0.86876,0.88124,0.88124,0.8875,0.85,0.86248,0.83126,0.83748,0.86876,0.86876,0.8749800000000001
ppv,0.8350800000000002,0.81646,0.81866,0.8013,0.82692,0.8487199999999999,0.8468399999999999,0.85774,0.81684,0.8331799999999999,0.7962,0.8027599999999999,0.83748,0.8393200000000001,0.8458
npv,0.8006599999999999,0.81462,0.82046,0.8044399999999999,0.7836800000000002,0.79668,0.7966200000000001,0.79952,0.80686,0.8232200000000001,0.8080999999999999,0.8085799999999999,0.8125600000000001,0.8177199999999999,0.8195399999999999
gmean_sens_spec,0.80298,0.8114799999999999,0.81436,0.7968,0.78626,0.8053000000000001,0.8055399999999999,0.80708,0.80182,0.8196999999999999,0.79782,0.80062,0.8158999999999998,0.81942,0.8221
gmean_all_metrics,0.8099399999999999,0.8135,0.8168,0.7996799999999998,0.7952999999999999,0.8134599999999998,0.8131999999999999,0.81706,0.80648,0.8237,0.79984,0.80304,0.82028,0.82376,0.8271000000000001
roc_auc,0.8886199999999999,0.86316,0.8938200000000001,0.8799399999999998,0.8997200000000001,0.90228,0.8970800000000001,0.9052800000000001,0.8808199999999999,0.90628,0.79922,0.88238,0.9017399999999999,0.89948,0.9058999999999999
accuracy,0.8117600000000001,0.81532,0.81836,0.8016,0.7981,0.81518,0.8150999999999999,0.8185399999999999,0.80822,0.8252,0.8016,0.80494,0.8220000000000001,0.8253400000000001,0.82864
sensitivity,0.76006,0.77408,0.78916,0.74498,0.76032,0.73836,0.75238,0.74524,0.7889,0.78176,0.73756,0.75264,0.73068,0.75292,0.7672
specificity,0.8375199999999999,0.85624,0.8375,0.82502,0.86876,0.85,0.8562799999999999,0.85624,0.825,0.8562799999999999,0.82502,0.80622,0.8125199999999999,0.84376,0.8375
ppv,0.7997599999999999,0.82386,0.8061,0.7871400000000001,0.8309599999999999,0.8061400000000001,0.8163600000000001,0.8183999999999999,0.79496,0.82326,0.7853800000000001,0.76982,0.7700000000000001,0.8051600000000001,0.8028600000000001
npv,0.80374,0.81616,0.8242200000000001,0.79116,0.8111599999999999,0.79382,0.8039,0.8012,0.8205,0.8219200000000001,0.78616,0.7929800000000001,0.7798200000000002,0.80044,0.80808
gmean_sens_spec,0.79754,0.8135800000000002,0.8123000000000001,0.7832399999999999,0.81172,0.79116,0.80166,0.7963,0.8065000000000001,0.8176800000000002,0.77946,0.7783599999999999,0.7699,0.79642,0.80112
gmean_all_metrics,0.7996000000000001,0.8166,0.8135999999999999,0.78602,0.81626,0.7955,0.80576,0.80268,0.807,0.8200200000000001,0.7825,0.77974,0.7723,0.79952,0.8032
roc_auc,0.88296,0.88114,0.8916999999999999,0.8746600000000001,0.8921800000000001,0.8962599999999998,0.8991200000000001,0.8904,0.87666,0.89574,0.78128,0.8488800000000001,0.8602000000000001,0.8648199999999999,0.88522
accuracy,0.8016399999999999,0.8182600000000001,0.81504,0.78802,0.8185400000000002,0.7983800000000001,0.80824,0.8051,0.8083199999999999,0.82172,0.7847,0.78142,0.77468,0.8017,0.8049799999999999
sensitivity,0.759,0.77406,0.74472,0.7454799999999999,0.7523799999999999,0.7672,0.78176,0.77408,0.76666,0.76668,0.73808,0.74444,0.75926,0.7523799999999999,0.75212
specificity,0.84376,0.84374,0.85626,0.85626,0.85624,0.86876,0.875,0.88752,0.8749800000000001,0.86876,0.86876,0.85624,0.85624,0.875,0.8750199999999999
ppv,0.81538,0.8276399999999999,0.8220599999999999,0.8217000000000001,0.8261200000000001,0.8409800000000001,0.85006,0.8632,0.84386,0.8423200000000002,0.83428,0.82256,0.8297800000000001,0.84374,0.8485400000000001
npv,0.8045,0.81192,0.7973600000000001,0.79936,0.80038,0.8137000000000001,0.8239799999999999,0.82134,0.8152200000000001,0.81464,0.7952,0.79814,0.80596,0.80602,0.80686
